shopify_sku,source,shopify_title
2T2010483/M25,matches_csv_andrew,Mountfield 1330M Gear Drive 2-in-1 Lawn Tractor
MF-827M,matches_csv_andrew,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive
2T0980473/C22,matches_csv_andrew,Castel Garden PTX 210 HD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
DC24-4,matches_csv_andrew,Spectrum DC24-4 Ultra-Compact Rear-Collect/Side-Discharge Ride-On Mower with Manual Drive
SBS40CB,matches_csv_andrew,Spectrum SBS40CB 40V 4.0Ah Lithium-Ion Battery Pack
TG561-SWT,matches_csv_andrew,Spectrum TG561-SWT Self Propelled Wheeled Trimmer
TG56-PRO,matches_csv_andrew,"Spectrum TG56-Pro Variable Speed, Honda Engine, Petrol Lawnmower - 4 Blade"
TG48-PRO,matches_csv_andrew,Spectrum TG48-PRO Honda Powered Petrol Self Propelled Lawnmower - 4 blade
TG51SE,matches_csv_andrew,Spectrum TG51SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start
TG56SE,matches_csv_andrew,Spectrum TG56SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start
DCT38M-SDM,matches_csv_andrew,"Spectrum DCT38M-SD  38"" Side Discharge and Mulch Lawn Tractor with Manual Drive PRE SEASON SPECIAL PRICE!"
SW420-EXPERT,matches_csv_andrew,Spectrum SW420-Expert 2-in-1 Petrol Lawn Scarifier/Aerator
DM26PBV,matches_csv_andrew,Spectrum DM26PBV Petrol Blower-Vac
AT-2T2630447/AT2,matches_csv_andrew,Atco GT 38H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
ECH-CS-621SX,matches_csv_andrew,Echo CS-621SX Petrol Chainsaw (50cm Guide Bar)
LPW2200,matches_csv_andrew,"Spectrum LPW2200 Electric Pressure Washer — 2200W, 170 Bar, Cleaning Kit Included"
HRX476QY,matches_csv_andrew,Honda HRX 476 QY Self-Propelled Rear Roller Petrol Lawn Mower
2T1315481/ST1,matches_csv_andrew,Stiga Estate 7122 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
XHT-240,matches_csv_andrew,Castel Garden XHT 240 4 Wheel-Drive Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive
C-T92H,matches_csv_andrew,Harry T92H Rear-Collect Lawn Tractor with Hydrostatic Transmission
HF-2417-HTE,matches_csv_andrew,Honda HF 2417 HTE Premium Garden Tractor
T84H,matches_csv_andrew,Harry T84H Rear-Collect Lawn Tractor with Hydrostatic Drive
C-HF2417HME,matches_csv_andrew,HF 2417 HME Premium Lawn Tractor with Versamow® Mulching
2T1950381/ST1,matches_csv_andrew,Stiga Tornado 9121 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive
STIG-2T2100481/ST1,matches_csv_andrew,Stiga Estate 384 Rear-Collect Lawn Tractor with Hydrostatic Drive
TG60FTTR,matches_csv_andrew,Spectrum TG60FTTR Petrol Cultivator
SIMP-SYT410,matches_csv_andrew,Simplicity Broadmoor SYT410 Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive & Lawn-Striping Rollers
LPW1600,matches_csv_andrew,"Spectrum LPW1600 Electric Pressure Washer — 1600W, 130 Bar"
C-HRTF220,matches_csv_andrew,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator
C-2691696,matches_csv_andrew,Simplicity Courier™ SZT350 Zero-Turn Ride-On Mower
TG40SE,matches_csv_andrew,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start
HRM-1500BC,matches_csv_andrew,HONDA HRM 1500BC Live Miimo Robotic Lawnmower
C-TG40SE-AMZ,matches_csv_andrew,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start (Amazon)
RAC139PTIL,matches_csv_andrew,Racing 139PTIL63 Petrol Front-Tine Tiller
TY8000V,matches_csv_andrew,Spectrum TY8000V Electric Upright 8-Tonne log Splitter
C-SP31105,matches_csv_andrew,Spectrum 97cm Towed Lawn & Leaf Sweeper | SP31105
MF-2T0515403/CAS,matches_csv_andrew,Mountfield MTF 98M SD Side-Discharge Lawn Tractor with Manual Drive
TG561-SWT-AMZ,matches_csv_andrew,Spectrum TG561-SWT Self Propelled Wheeled Trimmer (Amazon)
HRM-2500BC,matches_csv_andrew,HONDA Miimo HRM 2500BC Live Robot Lawnmower
HRG416SK,matches_csv_andrew,Honda Izy HRG 416 SK Self Propelled Petrol Lawn Mower
C-2T0510404/A22,matches_csv_andrew,Alpina AT3 98AST Side Discharge Lawn Tractor
C-TY7000H,matches_csv_andrew,Spectrum TY7000H 7 Tonne Log Splitter
WH20XT,matches_csv_andrew,HONDA WH20 Self Priming Water Pump
C-TG50-UTILITY-AMZ,matches_csv_andrew,Spectrum TG50-Utility Lawnmower (Amazon)
TG50-UTILITY,matches_csv_andrew,Spectrum TG50-Utility Lawnmower
STIG-2T0210481/ST2,matches_csv_andrew,Stiga Combi 372 Compact Rear-Collect Ride-On Mower with Hydrostatic Drive
MF-2T0210483/M22,matches_csv_andrew,Mountfield 1328H Compact Rear-Collect Ride-On Mower with Hydrostatic Drive
HAR-TS40S,matches_csv_andrew,Harry TS40-S 2-in-1 Petrol Lawn Scarifier/Aerator
QG20P,matches_csv_andrew,Spectrum 'Qingain' QG20P Push Petrol Lawnmower – WITH FREE BLADE WORTH £39.95!
MF-SP505R-V,matches_csv_andrew,Mountfield SP505R-V Variable-Speed Petrol Rear-Roller Lawnmower (with Honda Engine)
HRD536QY,matches_csv_andrew,Honda HRD 536 QX Self-Propelled Rear Roller Petrol Lawn Mower
ECH-CS310ES-35,matches_csv_andrew,Echo CS-310ES Petrol Chainsaw (35cm Guide Bar)
MF-HP41,matches_csv_andrew,Mountfield HP41 Hand-Propelled Petrol Lawnmower
C-TY5-7STAND,matches_csv_andrew,Spectrum TY5-7 Log Splitter Stand
HRG-466-PK,matches_csv_andrew,Honda Izy HRG 466 PK Petrol Lawn Mower
DM26L,matches_csv_andrew,Spectrum DM26L Petrol Brushcutter and Strimmer
FBT420,matches_csv_andrew,Feider FBT420 Petrol Chipper
C-DM26PBV-AMZ,matches_csv_andrew,Spectrum DM26PBV Petrol Blower-Vac (Amazon)
AT-2T2110447/AT2,matches_csv_andrew,Atco GT 30H Rear-Collect Lawn Tractor with Hydrostatic Drive
TY7000SW,matches_csv_andrew,"Spectrum TY7000SW Self-Propelled Powered broom, Leaf Sweeper, Debris and Snow Sweeper"
C-TY5000H,matches_csv_andrew,Spectrum TY5000H 5 Tonne Log Splitter
HRD-536-HX,matches_csv_andrew,Honda HRD 536 HX Self-Propelled Petrol Lawn Mower
DM26C,matches_csv_andrew,Spectrum DM26C Curved-Shaft Petrol Grass and weed Strimmer
GNP560-WT,matches_csv_andrew,Spectrum GNP560-WT Wheeled Trimmer
HRN-536-VY,matches_csv_andrew,Honda HRN 536 VY Self-Propelled Petrol Lawn Mower
ECH-HCA-265ES-HD,matches_csv_andrew,Echo HCA-265ES-HD Long-Reach Petrol Hedgetrimmer
SPEC-SP45103,matches_csv_andrew,Spectrum 91cm Towed Steel Lawn-Roller | SP45103
C-2T0053404/A22,matches_csv_andrew,Alpina AT2 66 QA Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive
C-SP22111-4,matches_csv_andrew,Spectrum 181kg-Capacity Poly Tipping Cart | SP22111-4
SP22124,matches_csv_andrew,Spectrum 227kg-Capacity Steel Tipping Trailer | SP22124
ECH-CS-4310SX,matches_csv_andrew,Echo CS-4310SX Petrol Chainsaw (40cm Guide Bar)
ECH-HC-2320,matches_csv_andrew,Echo HC-2320 Petrol Hedgetrimmer
C-SP22125,matches_csv_andrew,Spectrum 408kg-Capacity High-Sided Steel Tipping Trailer | SP22125
UMS-425-LN,matches_csv_andrew,UMS 425 LN 4-stroke Bent Shaft Petrol Brushcutter
HRN536VK,matches_csv_andrew,Honda HRN 536 VK Self-Propelled Petrol Lawn Mower
ECH-CS-2511TESC,matches_csv_andrew,Echo CS-2511TESC Top-Handle Petrol Arborist's Chainsaw (25cm Guide Bar)
DM26H,matches_csv_andrew,Spectrum DM26H Petrol Brushcutter and Strimmer
ECH-ES-250ES,matches_csv_andrew,Echo ES-250ES Shred N' Vac® Handheld Petrol Blower-Vacuum
CS-501SX/45,matches_csv_andrew,Echo CS-501SX Petrol Chainsaw (45cm Guide Bar)
HRG466SK,matches_csv_andrew,Honda Izy HRG 466 SK Self-Propelled Petrol Lawn Mower
HHH25S75ET,matches_csv_andrew,Honda HHH 25S 75E Hedge Trimmer
WEBB-WBV,matches_csv_andrew,Webb Walk-Behind Vacuum
FHT22,matches_csv_andrew,Feider FHT22 Petrol Hedgetrimmer (60cm Blades)
ECH-HCR-165ES,matches_csv_andrew,Echo HCR-165ES Petrol Hedgetrimmer
FTRTPRO40,matches_csv_andrew,Feider PRO 40 Petrol Chainsaw  Kit (40cm Guide Bar)
UMK-425-LE,matches_csv_andrew,Honda UMK 425 LE 4-Stroke Brush Cutter
ECH-HCR-185ES,matches_csv_andrew,Echo HCR-185ES Petrol Hedgetrimmer
ECH-SRM-2621TESU,matches_csv_andrew,Echo SRM-2621TESU High-Torque Petrol Brushcutter
ECH-PB-2520,matches_csv_andrew,Echo PB-2520 Handheld Petrol Leaf-Blower
ECH-SRM-237TESU,matches_csv_andrew,Echo SRM-237TESU High-Torque Petrol Brushcutter
WEPS400,matches_csv_andrew,Webb WEPS400 40cm (16″) Petrol Lawn Scarifier & Raker
RAC52BPB-2,matches_csv_andrew,Racing 52BPB-2 Petrol Backpack Blower
DM26PB,matches_csv_andrew,Spectrum DM26PB Petrol Leaf Blower
